userName,content,score,thumbsUpCount,at
Eri Han,"Knp shopee tdk putus kerja sama dg SiCepat saja ?? Mlh putus dg J&T. SiCepat mulai nggak amanah. CS SiCepat pusat nggak ada respon ketika dichat WA. Kurir udh pick up paket namun tdk segera update status pengiriman paket (nunggu hampir seharian). Dan, kurir sengaja telat antar paket dg tdk update status pengiriman paket & tdk memberi konfirmasi lewat WA (ini jg nunggu hampir seharian).",2,1,2026-07-01 20:38:38
Husein All,"apk nya bagus, barang murah' CUMAN KALO BIKIN IKLAN ITU JANGAN TERLALU MAKSAAA, GAK LAMA MABUK IKLAN SHOOPEE GUAA, DIKIT DIKIT SHOOPE SHOPEE SHOOPE MUAKK, IKLANNYA TOKO SEBELAH PAS DI BUKA MALAH SHOPEE, BIKIN IKLAN SEWAJARNYA AJA KAK JANGAN TERLALU MAKASA, GAME ADA IKLAN SHOOPE, WEB ADA IKLAN NYA LAGI, DI MANA MANA SHOOPE APA GAK MABUK SAMA IKLAN SHOOPE, KADANG KALO LAGI SCROLL AJA BISA KE BUKA SHOOPE, LAGI MAIN ADA NOTIP PAS MAU DI GESER MALAH BUKA APKNYA KANN GANGGU BANGET, #IKLANJANGANMAKSA",3,0,2026-07-01 20:37:29
Osis sman1,AHHH SIAL IKLAN LO TU LEBAY BNGT ANJG KAYA BISA GASI GAUSAH SETOO MUCH ITU CAPE BNGT MASUK APK BENTAR TIBA TIBA IKLAN,1,0,2026-07-01 20:37:29
Coni Tifal,mantapp bosku,5,0,2026-07-01 20:37:24
Awal Konservasi,pelayanan Sangat Bagus,5,0,2026-07-01 20:37:03
Sigit,BA nya sarwendah,1,0,2026-07-01 20:36:59
Majed Zaaki,"kenapa saya kasih bintang 1?. karena audio hilang,penyimpanan shope ini nyampe GB bahkan sampe 5GB tuh. gajels apalagi iklanya ngganggu bngt. mana kalo njawab atau mbalas comand saya cuma itu itu aja. dan bisa gak sih jangan naikin GB nya padahal di keranjang saya cuma 5 doang tapi bsa nyampe GB²an ga puas sih sama penyimpanan dan apk nya. bikin pusing gak puas",1,1,2026-07-01 20:36:23
Tika Bts,jelek,1,0,2026-07-01 20:31:02
Mochamad Muchtarom,"saya kena penipuan oleh oknum yg mengatasnamakan dari customer service shopee,,saya sudah lapor ke semua arahan yg sampaikan oleh shopee,,tetapi spaylater dan Shopee Pinjam saya tetap kena tagihan ke saya,,dan tidak ada solusi dari shopee,, sekarang saya tiap hari di teror telp untuk bayar,,saya sangat di rugikan,, padahal dari dulu saya selalu belanja di shopee,,sangat mengecewakan.",1,4,2026-07-01 20:30:36
Faezah Afifah,"sumpah ,suka banget sama shopee soalnya kalo mau beli apa apa tinggal check out tunggu berapa jam dah sampe gila cepet bnget mana banyak voucher sama gratis ongkir lagi kalo pengguna baru selaluu dpt diskon 50 ribu minimal belanja 0 rupiah lagi , loveee buat shopeee",5,0,2026-07-01 20:28:58
